JobId,UserId,GroupId,Name,JobState,Partition,TimeLimit,StartTime,EndTime,NodeList,NodeCnt,ProcCnt,WorkDir,ReservationName,Tres,Account,QOS,WcKey,Cluster,SubmitTime,EligibleTime,DerivedExitCode,ExitCode
271,domrsfs(1036),domrsfs(1036),meu_job,TIMEOUT,normal,1,2024-03-01T07:10:34,2024-03-01T07:11:54,compute03,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:10:33,2024-03-01T07:10:33,0:0,0:0
268,pedrobb(1006),pedrobb(1006),teste_pbb,TIMEOUT,normal,2,2024-03-01T07:10:08,2024-03-01T07:12:31,compute02,1,1,/home/pedrobb/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:10:07,2024-03-01T07:10:07,0:0,0:0
272,lincolnrpm(1035),lincolnrpm(1035),sleeps,TIMEOUT,normal,2,2024-03-01T07:11:56,2024-03-01T07:14:01,compute02,1,1,/home/lincolnrpm/scratch,,"cpu=1,mem=500M,node=1,billing=1",,,,unknown,2024-03-01T07:11:55,2024-03-01T07:11:55,0:0,0:0
274,felipemt3(1039),felipemt3(1039),teste,TIMEOUT,normal,1,2024-03-01T07:12:40,2024-03-01T07:14:01,compute02,1,1,/home/felipemt3/scratch,,"cpu=1,mem=100M,node=1,billing=1",,,,unknown,2024-03-01T07:12:40,2024-03-01T07:12:40,0:0,0:0
275,domrsfs(1036),domrsfs(1036),meu_job,COMPLETED,normal,2,2024-03-01T07:12:51,2024-03-01T07:14:11,compute00,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:12:51,2024-03-01T07:12:51,0:0,0:0
278,luizfl(1023),luizfl(1023),errado,COMPLETED,normal,1,2024-03-01T07:14:11,2024-03-01T07:14:16,compute00,1,4,/home/luizfl/scratch,,"cpu=4,mem=1G,node=1,billing=4",,,,unknown,2024-03-01T07:13:46,2024-03-01T07:13:46,0:0,0:0
276,luizfl(1023),luizfl(1023),bash,FAILED,normal,20,2024-03-01T07:13:02,2024-03-01T07:14:18,compute01,1,1,/home/luizfl,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:13:02,2024-03-01T07:13:02,0:0,1:0
273,caiobt1(1038),caiobt1(1038),teste,CANCELLED,normal,20,2024-03-01T07:12:30,2024-03-01T07:14:24,compute03,1,1,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:12:30,2024-03-01T07:12:30,0:0,0:0
280,caiobt1(1038),caiobt1(1038),teste,CANCELLED,normal,20,2024-03-01T07:14:44,2024-03-01T07:15:05,compute01,1,1,/home/caiobt1/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:14:44,2024-03-01T07:14:44,0:0,0:0
279,domrsfs(1036),domrsfs(1036),meu_job,TIMEOUT,normal,1,2024-03-01T07:14:16,2024-03-01T07:15:31,compute00,1,1,/home/domrsfs/scratch,,"cpu=1,mem=14000M,node=1,billing=1",,,,unknown,2024-03-01T07:13:51,2024-03-01T07:13:51,0:0,0:0
